experiment,run_date,embedding_model,chunk_size,chunk_overlap,top_k,search_type,generation_llm,judge_llm,faithfulness,answer_relevancy,context_precision,context_recall,dataset,fetch_k,lambda_mult,use_reranker,reranker_model,reranker_top_n,temperature
all-mpnet-base-v2_chunk300_overlap90_k3_mmr,2026-06-28 01:15:40,sentence-transformers/all-mpnet-base-v2,300,90,3,mmr,gpt-4o-mini,gpt-4o-mini,0.833,0.844,0.833,1.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap90_k3_mmr,2026-06-28 01:33:09,sentence-transformers/all-mpnet-base-v2,300,90,3,mmr,gpt-4o-mini,gpt-4o-mini,0.0,0.827,0.5,1.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k3_mmr,2026-06-28 01:48:23,sentence-transformers/all-mpnet-base-v2,300,100,3,mmr,gpt-4o-mini,gpt-4o-mini,1.0,0.827,0.5,1.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k3_mmr,2026-06-28 01:53:24,sentence-transformers/all-mpnet-base-v2,300,100,3,mmr,gpt-4o-mini,gpt-4o-mini,1.0,0.827,0.5,1.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-29 12:19:48,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,0.8,0.827,1.0,0.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-29 12:50:16,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,0.8,0.827,1.0,0.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-29 13:12:04,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,0.8,0.827,1.0,0.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-29 13:38:17,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,0.8,0.827,1.0,0.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-29 22:15:37,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,0.702,0.738,0.743,0.739,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-29 23:52:00,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,0.2,0.533,1.0,0.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-30 00:09:31,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,1.0,0.0,0.0,1.0,,,,,,,
all-mpnet-base-v2_chunk300_overlap100_k10_mmr,2026-06-30 01:01:01,sentence-transformers/all-mpnet-base-v2,300,100,10,mmr,gpt-4o-mini,gpt-4o-mini,0.0,0.0,1.0,0.0,dataset_v2,20.0,0.5,True,BAAI/bge-reranker-base,3.0,1.0
all-mpnet-base-v2_chunk600_overlap150_k15_fetch30_lambda0.5_mmr_rerank3_bge-reranker-base,2026-06-30 01:15:22,sentence-transformers/all-mpnet-base-v2,600,150,15,mmr,gpt-4o-mini,gpt-4o-mini,0.8,0.809,1.0,0.6,dataset_v2,30.0,0.5,True,BAAI/bge-reranker-base,3.0,1.0
all-mpnet-base-v2_chunk600_overlap150_k15_fetch30_lambda0.5_mmr_rerank5_bge-reranker-base,2026-06-30 01:20:09,sentence-transformers/all-mpnet-base-v2,600,150,15,mmr,gpt-4o-mini,gpt-4o-mini,1.0,0.809,1.0,0.6,dataset_v2,30.0,0.5,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk600_overlap150_k15_fetch30_lambda0.5_mmr_rerank5_bge-reranker-base,2026-06-30 10:45:33,sentence-transformers/all-mpnet-base-v2,600,150,15,mmr,gpt-4o-mini,gpt-4o-mini,0.889,0.796,1.0,0.6,dataset_v2,30.0,0.5,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk600_overlap150_k15_fetch30_lambda0.8_mmr_rerank5_bge-reranker-base,2026-06-30 10:57:51,sentence-transformers/all-mpnet-base-v2,600,150,15,mmr,gpt-4o-mini,gpt-4o-mini,0.667,0.847,1.0,0.6,dataset_v2,30.0,0.8,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk600_overlap100_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 11:34:12,sentence-transformers/all-mpnet-base-v2,600,100,15,mmr,gpt-4o-mini,gpt-4o-mini,0.9,0.847,1.0,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 11:37:30,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-4o-mini,1.0,1.0,1.0,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-4o-mini,0.78,0.812,0.826,0.789,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 13:26:13,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-4o-mini,0.0,0.0,0.0,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 11:06:37,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-4o-mini,0.749,0.855,0.855,0.823,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 11:40:13,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-4o-mini,0.5,1.0,0.333,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 11:49:07,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-4o-mini,0.5,1.0,0.333,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 11:53:39,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-4o-mini,0.5,1.0,0.333,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:03:24,sentence-transformers/all-mpnet-base-v2,800,200,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,1.0,0.333,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:11:46,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,1.0,0.583,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.91,0.949,0.94,0.714,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 23:03:23,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.854,0.902,0.94,0.667,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 23:09:50,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,1.0,0.583,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 23:16:28,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.6,1.0,0.583,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 23:22:43,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.846,1.0,1.0,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 23:30:26,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.846,1.0,1.0,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 10:26:17,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.846,1.0,1.0,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 10:36:46,sentence-transformers/all-mpnet-base-v2,700,200,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.75,0.741,0.833,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 10:39:59,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.75,0.763,0.833,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 11:16:37,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,0.741,0.833,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k5_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 12:51:19,sentence-transformers/all-mpnet-base-v2,700,150,5,mmr,gpt-4o-mini,gpt-5.4-mini,0.636,0.0,1.0,0.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 13:33:16,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,1.0,1.0,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 21:05:35,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,1.0,1.0,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 21:13:27,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,0.968,1.0,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 21:14:48,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.857,0.968,1.0,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 21:27:09,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,0.968,0.867,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 21:40:35,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.917,0.968,0.867,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 21:51:51,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.923,0.968,0.867,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 21:56:33,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.786,0.968,0.867,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 22:59:34,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,0.846,0.968,0.917,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 23:15:15,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,0.968,1.0,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-03 23:21:11,sentence-transformers/all-mpnet-base-v2,700,150,15,mmr,gpt-4o-mini,gpt-5.4-mini,1.0,0.968,1.0,1.0,dataset_v2,30.0,0.4,True,BAAI/bge-reranker-base,5.0,1.0
